Time,Loss,Accuracy,valLoss,valAccuracy
14,1.7136,0.5333,0.9287,0.5
7,0.7709,0.6778,1.0104,0.5
7,0.7868,0.6926,33.1577,0.5
7,0.5902,0.7333,8.5114,0.6889
7,0.7379,0.7111,2.4476,0.7667
7,0.6235,0.7444,0.5651,0.7778
7,0.4504,0.8259,0.3526,0.8667
7,0.4549,0.7963,0.4635,0.9333
7,0.3201,0.8741,0.8764,0.6222
7,0.199,0.9296,1.9292,0.6778
7,0.1759,0.9259,1.0723,0.5778
7,0.2542,0.9222,0.7863,0.7667
7,0.3796,0.8741,1.1124,0.8667
7,0.6411,0.6963,1.2907,0.6556
7,0.2874,0.8963,1.1097,0.5
8,0.1179,0.9481,0.5196,0.7444
7,0.0283,0.9963,0.8788,0.7667
7,0.0994,0.9741,3.7735,0.5778
7,0.0495,0.9815,1.2119,0.6889
7,0.0423,0.9852,5.0113,0.5
7,0.0227,0.9963,0.8533,0.7444
7,0.0143,0.9963,0.5652,0.8333
7,0.0141,0.9963,0.3061,0.9333
7,0.2015,0.937,2.4026,0.8889
7,0.0076,1,1.309,0.8556
7,0.0074,1,0.5554,0.8667
7,0.0014,1,0.5272,0.9222
7,0.0059,1,0.3781,0.9444
7,0.0012,1,0.3711,0.8778
7,0.0015,1,0.6245,0.7889
7,0.0034,1,0.558,0.8556
7,0.00054846,1,0.2693,0.9222
7,0.00083828,1,0.159,0.9667
7,0.00034549,1,0.1644,0.9556
7,0.0063,1,1.0948,0.6889
7,0.1075,0.9852,1.7242,0.7889
7,0.0059,1,0.331,0.9
7,0.0107,0.9926,0.1067,0.9667
8,0.2556,0.9185,6.0478,0.4667
8,0.0819,0.9778,1.1863,0.8222
8,0.089,0.963,0.8022,0.6667
7,0.0154,0.9963,0.4647,0.8889
8,0.0137,0.9963,0.7839,0.8
7,0.0017,1,0.3554,0.8889
8,0.0033,1,0.3132,0.9
8,0.0016,1,0.3184,0.9111
8,0.0013,1,0.2405,0.9111
7,0.0011,1,0.4127,0.9
8,0.0035,1,0.4243,0.8889
8,0.00059852,1,0.3609,0.9
7,0.00071859,1,0.2885,0.9222
8,0.00036026,1,0.3468,0.9111
8,0.0002046,1,0.3849,0.9111
8,0.00043914,1,0.4717,0.8667
7,0.00018938,1,0.512,0.8667
8,0.00023658,1,0.5378,0.8556
8,0.00023917,1,0.4553,0.8778
8,0.00019614,1,0.5608,0.8556
7,0.000098086,1,0.6194,0.8556
8,0.00012316,1,0.4995,0.8667
8,0.00014007,1,0.3332,0.9222
7,0.00097255,1,0.3381,0.9
7,0.00031614,1,0.3108,0.9222
8,0.00031503,1,0.3535,0.9222
8,0.00014437,1,0.2982,0.9222
7,0.00018065,1,0.229,0.9222
7,0.00014094,1,0.2408,0.9333
7,0.000046101,1,0.2858,0.9222
8,0.00003837,1,0.3205,0.9222
8,0.000047588,1,0.3109,0.9222
8,0.000062208,1,0.3225,0.9222
8,0.000036186,1,0.3496,0.9222
7,0.00002507,1,0.3928,0.9222
7,0.000025006,1,0.3541,0.9222
8,0.000031195,1,0.3934,0.9222
8,0.000025954,1,0.3604,0.9222
8,0.000019434,1,0.3675,0.9222
8,0.000031556,1,0.3282,0.9222
8,0.00002253,1,0.3385,0.9222
8,0.000026094,1,0.3694,0.9222
8,0.000020706,1,0.4067,0.9222
8,0.000031126,1,0.3895,0.9222
8,0.000017152,1,0.3897,0.9222
8,0.000012807,1,0.4037,0.9222
8,0.000013916,1,0.3845,0.9222
8,9.3511E-06,1,0.3603,0.9222
8,0.00002172,1,0.3611,0.9222
8,0.000013,1,0.3986,0.9222
8,0.00001622,1,0.3527,0.9222
8,7.5097E-06,1,0.3779,0.9222
8,9.7708E-06,1,0.4292,0.9111
8,9.8628E-06,1,0.4141,0.9222
8,0.000012004,1,0.2774,0.9222
8,0.000011945,1,0.4585,0.9111
8,6.6001E-06,1,0.4404,0.9111
8,6.4791E-06,1,0.3738,0.9222
8,0.000010498,1,0.3648,0.9222
8,0.000008802,1,0.3357,0.9222
8,0.000005724,1,0.3295,0.9222
8,0.000005662,1,0.3572,0.9222